AreaCode,Area,StartPinCode,EndPinCode,AreaName
700082,KOLKATA,700082,700082,082 : KOLKATA HARIDEVPUR : 700 082 - 700 082
700083,KOLKATA,700083,700083,083 : KOLKATA EAST BELGHORIA : 700 083 - 700 083
700084,KOLKATA,700084,700084,084 : KOLKATA GARIA GARDEN: 700 084 - 700 084
700085,KOLKATA,700085,700085,085 : KOLKATA KG BOSE SARANI : 700 085 - 700 085
700086,KOLKATA,700086,700086,086 : KOLKATA BAGAJATIN : 700 086 - 700 086
700087,KOLKATA,700087,700087,087 : KOLKATA NEW MARKET : 700 087 - 700 087
700088,KOLKATA,700088,700088,088 : KOLKATA TARATALA : 700 088 - 700 088
700089,KOLKATA,700089,700089,089 : KOLKATA LAKE TOWN KALINDI : 700 089 - 700 089
700090,KOLKATA,700090,700090,090 : KOLKATA NOAPARA  : 700 090 - 700 090
700091,KOLKATA,700091,700091,091 : KOLKATA  SALT LAKE SECTOR II: 600 091 - 600 091
700092,KOLKATA,700092,700092,092 : KOLKATA REGENT ESTATE : 700 092 - 700 092
700093,KOLKATA,700093,700093,093 : KOLKATA PURBA PUTIARY : 700 093 - 700 093
700094,KOLKATA,700094,700094,094 : KOLKATA BAISHNAB GHATA PATULI : 700 094 - 700 094
700095,KOLKATA,700095,700095,095 : KOLKATA GOLF GREEN : 700 095 - 700 095
700096,KOLKATA,700096,700096,096 : KOLKATA BRAHMAPUR : 700 096 - 700 096
700097,KOLKATA,700097,700097,097 : KOLKATA PURBACHAL : 700 097 - 700 097
700098,KOLKATA,700098,700098,098 : KOLKATA BIDHAN NAGAR SAI COMPLEX : 700 098 - 700 098
700099,KOLKATA,700099,700099,099 : KOLKATA MUKUNDAPUR : 700 099 - 700 099
700100,KOLKATA,700100,700100,100 : KOLKATA VIP NAGAR : 700 100 - 700 100
700101,KOLKATA,700101,700101,101 : KOLKATA PRAFULLA KANAN: 700 101 - 700 101
700102,KOLKATA,700102,700102,102 : KOLKATA KRISHNAPUR NORTH 24 PGRS : 600 102 - 600 102
700103,KOLKATA,700103,700103,103 : KOLKATA NARENDRAPUR : 700 103 - 700 103
700104,KOLKATA,700104,700104,104 : KOLKATA IIM JOKA : 700 104 - 600 104
700105,KOLKATA,700105,700105,105 : KOLKATA DHAPA : 700 105 - 700 105
700106,KOLKATA,700106,700106,106 : KOLKATA SALT LAKE SECTOR III : 700 106 - 700 106
700107,KOLKATA,700107,700107,107 : KOLKATA MADURDAHA : 700 107 - 700 107
700108,KOLKATA,700108,700108,108 : KOLKATA ASHOKEGARH: 700 108 - 700 108
700109,KOLKATA,700109,700109,109 : KOLKATA AGARPARA : 700 109 - 700 109
700110,KOLKATA,700110,700110,110 : KOLKATA SODEPUR : 700 110 - 700 110
700111,KOLKATA,700111,700111,111 : KOLKATA GHOLA BAZAR : 700 111 - 700 111
700112,KOLKATA,700112,700112,112 : KOLKATA PANSILA : 700 112 - 700 112
700113,KOLKATA,700113,700113,113 : KOLKATA NATAGARH : 700 113 - 700 113
700114,KOLKATA,700114,700114,114 : KOLKATA PANIHATI: 700 114 - 700 114
700115,KOLKATA,700115,700115,115 : KOLKATA SUKCHAR SODEPUR: 700 115 - 700 115
700116,KOLKATA,700116,700116,116 : KOLKATA BD SOPAN : 700 116 - 700 116
700117,KOLKATA,700117,700117,117 : KOLKATA KARDAH : 700 117 - 700 117
700118,KOLKATA,700118,700118,118 : KOLKATA RAHARA : 700 118 - 700 118
700119,KOLKATA,700119,700119,119 : KOLKATA TITAGARH : 700 119 - 700 119
700120,KOLKATA,700120,700120,120 : KOLKATA BARRACKPORE : 700 120 - 700 120
700121,KOLKATA,700121,700121,121 : KOLKATA NILGANJ BAZAR : 700 121 - 700 121
700122,KOLKATA,700122,700122,122 : KOLKATA BARACKPORE ANANDAPURI : 700 122 - 700 122
700123,KOLKATA,700123,700123,123 : KOLKATA BARACKPORE RAILWAY STATION: 700 123 - 700 123
700124,KOLKATA,700124,700124,124 : KOLKATA  BARASAT : 700 124 - 700 124
700125,KOLKATA,700125,700125,125 : KOLKATA KADAMBAGACHI : 700 125 - 700 125
700126,KOLKATA,700126,700126,126 : KOLKATA MALIKAPUR: 700 126 - 700 126
700127,KOLKATA,700127,700127,127 : KOLKATA HRIDAYPUR: 700 127 - 700 127
700128,KOLKATA,700128,700128,128 : KOLKATA : 700 128 - 700 128
700129,KOLKATA,700129,700129,129 : KOLKATA MADHYAMGRAM : 700 129 - 700 129
700130,KOLKATA,700130,700130,130 : KOLKATA KORACHANDIGARH: 700 130 - 700 130
700131,KOLKATA,700131,700131,131 : KOLKATA NEW BARRACKPUR : 700 131 - 700 131
700132,KOLKATA,700132,700132,132 : KOLKATA GANGANAGAR : 700 132 - 700 132
700133,KOLKATA,700133,700133,133 : KOLKATA MICHEALNAGAR : 700 133 - 700 133
700134,KOLKATA,700134,700134,134 : KOLKATA NILACHAL : 700 134 - 700 134
700135,KOLKATA,700135,700135,135 : KOLKATA KAMDUNI : 700 135 - 700 135
700136,KOLKATA,700136,700136,136 : KOLKATA RAJARHAT GOPALPUR : 700 136 - 700 136
700137,KOLKATA,700137,700137,137 : KOLKATA BUDGE BUDGE : 700 137 - 700 137
700139,KOLKATA,700139,700139,139 : KOLKATA DAULATPUR : 700 139 - 700 139
700140,KOLKATA,700140,700140,140 : KOLKATA BATA NAGAR - 700 140 - 700 140
700141,KOLKATA,700141,700141,141 : KOLKATA MAHESHTALA : 700 141 - 700 141
700144,KOLKATA,700144,700144,144 : KOLKATA BARUIPUR - 700 144 - 700 144
700145,KOLKATA,700145,700145,145 : KOLKATA MALANCHA MAHINAGAR : 700 145 - 700 145
700146,KOLKATA,700146,700146,146 : KOLKATA KODALIA : 700 146 - 700 146
700147,KOLKATA,700147,700147,147 : KOLKATA SUBHAS GRAM : 700 147 - 700 147
700148,KOLKATA,700148,700148,148 : KOLKATA HARINAVI : 700 148 - 700 148
700149,KOLKATA,700149,700149,149 : KOLKATA RAJPUR BAZAR : 700 149 - 700 149
700150,KOLKATA,700150,700150,150 : KOLKATA NAYABAD : 700 150 - 700 150
700151,KOLKATA,700151,700151,151 : KOLKATA DAKHIN JAGATDAL 700 151 - 700 151
700152,KOLKATA,700152,700152,152 : KOLKATA PANCHPOTA 700 152 - 700 152
700153,KOLKATA,700153,700153,153 : KOLKATA LASKARPUR : 700 153 - 700 153
700154,KOLKATA,700154,700154,154 : KOLKATA BORAL : 700 154 - 700 154
700156,KOLKATA,700156,700156,156 : KOLKATA NEW TOWN : 700 156 - 700 156
700157,KOLKATA,700157,700157,157 : KOLKATA HATIYARA : 700 157 - 700 157
700158,KOLKATA,700158,700158,158 : KOLKATA BISAHRAR PARA : 700 158 - 700 158
700159,KOLKATA,700159,700159,159 : KOLKATA JYANGRA : 700 159 - 700 159
700161,KOLKATA,700161,700161,161 : KOLKATA NEW TOWN ACTION AREA II : 700 161 - 700 161
700162,KOLKATA,700162,700162,162 : KOLKATA GOURANGANAGAR : 700 162 - 700 162
700163,KOLKATA,700163,700163,163 : KOLKATA NEW TOWN ACTION AREA I : 700 163 - 700 163
711,HOWRAH RMS ( A ),711001,711999,711*** : HOWRAH RMS ( A ) : 711 001 - 711 999
712,HOWRAH RMS ( B ),712001,712999,712*** : HOWRAH RMS ( B ) : 712 001 - 712 999
713,ASANSOL RMS,713001,713999,713*** : ASANSOL RMS : 713 001 - 713 999
721,AMPC KOLKATA RMS ( B ),721001,723999,721*** : AMPC KOLKATA RMS ( B ) : 721 001 - 723 999
731,SILIGURI RMS,731001,737999,731*** : SILIGURI RMS : 731 001 - 737 999
741,AMPC KOLKATA RMS ( C ),741001,744999,741*** : AMPC KOLKATA RMS ( C ) : 741 001 - 744 999
751,BHUBANESHWAR ( A ),751001,751999,751*** : BHUBANESHWAR ( A ) : 751 001 - 751 999
752,BHUBANESHWAR ( B ),752001,752999,752*** : BHUBANESHWAR ( B ) : 752 001 - 752 999
753,CUTTACK RMS,753001,759999,753*** : CUTTACK RMS : 753 001 - 759 999
760,BERHAMBUR RMS,760001,765999,760*** : BERHAMBUR RMS : 760 001 - 765 999
766,JHARSAGUDA RMS,766001,770999,766*** : JHARSAGUDA RMS : 766 001 - 770 999
781,GUWAHATI RMS ( A ),781001,788999,781*** : GUWAHATI RMS ( A ) : 781 001 - 788 999
790,GUWAHATI RMS ( B ),790001,792999,790*** : GUWAHATI RMS ( B ) : 790 001 - 792 999
793,GUWAHATI RMS,793001,799999,793*** : GUWAHATI RMS : 793 001 - 799 999
800,PATNA RMS ( A ),800001,815999,800*** : PATNA RMS ( A ) : 800 001 - 815 999
816,PATNA RMS ( B ),816001,816999,816*** : PATNA RMS ( B ) : 816 001 - 816 999
821,GAYA RMS ( A ),821001,822999,821*** : GAYA RMS ( A ) : 821 001 - 822 999
823,GAYA RMS ( B ),823001,823999,823*** : GAYA RMS ( B ) : 823 001 - 823 999
824,GAYA RMS ( C ),824001,825999,824*** : GAYA RMS ( C ) : 824 001 - 825 999
826,DHANBAD RMS,826001,826999,826*** : DHANBAD RMS : 826 001 - 826 999
827,RANCHI RMS ( C ),827001,827999,827*** : RANCHI RMS ( C ) : 827 001 - 827 999
828,RANCHI RMS ( D ),828001,828999,828*** : RANCHI RMS ( D ) : 828 001 - 828 999
829,RANCHI RMS ( E ),829001,829999,829*** : RANCHI RMS ( E ) : 829 001 - 829 999
831,TATANAGAR RMS,831001,833999,831*** : TATANAGAR RMS : 831 001 - 833 999
834,RANCHI RMS ( A ),834001,834999,834*** : RANCHI RMS ( A ) : 834 001 - 834 999
835,RANCHI RMS ( B ),835001,835999,835*** : RANCHI RMS ( B ) : 835 001 - 835 999
841,PATNA RMS ( C ),841001,841999,841*** : PATNA RMS ( C ) : 841 001 - 841 999
842,MUZAFFARPUR RMS ( A ),842001,842999,842*** : MUZAFFARPUR RMS ( A ) : 842 001 - 842 999
843,MUZAFFARPUR RMS ( B ),843001,843999,843*** : MUZAFFARPUR RMS ( B ) : 843 001 - 843 999
844,PATNA RMS ( D ),844001,844999,844*** : PATNA RMS ( D ) : 844 001 - 844 999
845,MUZAFFARPUR RMS ( C ),845001,845999,845*** : MUZAFFARPUR RMS ( C ) : 845 001 - 845 999
846,BARAUNI RMS ( A ),846001,846999,846*** : BARAUNI RMS ( A ) : 846 001 - 846 999
847,BARAUNI RMS ( B ),847001,847999,847*** : BARAUNI RMS ( B ) : 847 001 - 847 999
848,MUZAFFARPUR RMS ( D ),848001,848999,848*** : MUZAFFARPUR RMS ( D ) : 848 001 - 848 999
851,BARAUNI RMS ( C ),851001,851999,851*** : BARAUNI RMS ( C ) : 851 001 - 851 999
852,BARAUNI RMS ( D ),852001,853999,852*** : BARAUNI RMS ( D ) : 852 001 - 853 999
854,BARAUNI RMS ( E ),854001,854999,854*** : BARAUNI RMS ( E ) : 854 001 - 854 999
855,BARAUNI RMS ( F ),855001,855999,855*** : BARAUNI RMS ( F ) : 855 001 - 855 999
901,PR,,,901 : PR
902,RR,,,902 : RR
903,R3,,,903 : R3
904,R4,,,904 : R4
905,R6,,,905 : R6
906,PH,,,906 : PH
907,HH,,,907 : HAND DELIVERY
908,GD,,,908 : GROUP DELIVERY
909***,FOREIGN-AIR,,,909 : FOREIGN-AIR
910***,FOREIGN-SEA,,,910 : FOREIGN-SEA
911***,TRANSPORT,,,911 : TRANSPORT
